rut,alumno,genero,curso,evaluador,colegio,fecha,respuesta_pregunta_1,tiempo_pregunta_1,respuesta_pregunta_2,tiempo_pregunta_2,respuesta_pregunta_3,tiempo_pregunta_3,respuesta_pregunta_4,tiempo_pregunta_4,respuesta_pregunta_5,tiempo_pregunta_5,respuesta_pregunta_6,tiempo_pregunta_6,respuesta_pregunta_7,tiempo_pregunta_7,respuesta_pregunta_8,tiempo_pregunta_8,respuesta_pregunta_9,tiempo_pregunta_9,respuesta_pregunta_10,tiempo_pregunta_10,respuesta_pregunta_11,tiempo_pregunta_11,respuesta_pregunta_12,tiempo_pregunta_12,respuesta_pregunta_13,tiempo_pregunta_13,respuesta_pregunta_14,tiempo_pregunta_14,respuesta_pregunta_15,tiempo_pregunta_15,respuesta_pregunta_16,tiempo_pregunta_16,respuesta_pregunta_17,tiempo_pregunta_17,respuesta_pregunta_18,tiempo_pregunta_18,respuesta_pregunta_19,tiempo_pregunta_19,respuesta_pregunta_20,tiempo_pregunta_20,respuesta_pregunta_21,tiempo_pregunta_21,respuesta_pregunta_22,tiempo_pregunta_22,respuesta_pregunta_23,tiempo_pregunta_23,respuesta_pregunta_24,tiempo_pregunta_24,respuesta_pregunta_25,tiempo_pregunta_25,respuesta_pregunta_26,tiempo_pregunta_26,respuesta_pregunta_27,tiempo_pregunta_27,respuesta_pregunta_28,tiempo_pregunta_28,respuesta_pregunta_29,tiempo_pregunta_29,respuesta_pregunta_30,tiempo_pregunta_30,respuesta_pregunta_31,tiempo_pregunta_31,respuesta_pregunta_32,tiempo_pregunta_32,respuesta_pregunta_33,tiempo_pregunta_33,respuesta_pregunta_34,tiempo_pregunta_34,respuesta_pregunta_35,tiempo_pregunta_35,respuesta_pregunta_36,tiempo_pregunta_36
29999999-9,Felipe Falcon,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
24228192-2,Mateo Espinoza,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
23928192-3,Alex Maturana,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
21728958-2,Pedro Pérez,M,PRE - KINDER A,Claudio Guevara,Colegio de Prueba - 1,18/12/2024,1,664,1,1058,1,1238,1,735,1,801,1,585,1,760,1,1111,1,664,1,1050,1,1474,1,1500,1,720,1,575,1,1737,1,876,1,388,1,333,1,326,1,444,1,390,1,443,1,501,1,604,1,697,1,902,1,545,1,564,1,1072,1,681,1,605,1,648,1,400,1,368,1,597,0,534
21258918-3,Nicolas Cerda,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
21028918-9,Camila Gonzalez,F,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
21002918-1,Jorge Fuentes,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20798918-3,Marta Muñoz,F,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20788918-6,Ana Alba,F,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20728918-3,Gabriela Contreras,F,PRE - KINDER A,Claudio Guevara,Colegio de Prueba - 1,18/12/2024,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,569
20727918-3,Carla Yañez,F,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20725918-3,Sergio Rojas,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20721918-3,Cristobal Quinteros,M,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20688918-1,Marcelo Rojas,M,PRE - KINDER A,Claudio Guevara,Colegio de Prueba - 1,18/12/2024,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2052918-3,Constanza Contreras,F,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
20128918-5,Javiera Tapia,F,PRE - KINDER A,,Colegio de Prueba - 1,,,,,,,,
